ILMN_1753370 ILMN_1735591 ILMN_1776936 ILMN_1669928 ILMN_1697905 ILMN_1699727 ILMN_1760246 ILMN_1653836 ILMN_1775121 ILMN_1675632 ILMN_1743219 ILMN_1795561 ILMN_1751561 ILMN_1791270 ILMN_1779241 ILMN_1690179 ILMN_1668652 ILMN_1676728 ILMN_1654289 ILMN_1697268 ILMN_1719468 ILMN_1729217 ILMN_1728517 ILMN_1789627 ILMN_1679746 ILMN_1716869 ILMN_1717381 ILMN_1776516 ILMN_1789505 ILMN_1682572 ILMN_1770479 ILMN_1753269 ILMN_1798663 ILMN_1763228 ILMN_1809636 ILMN_1785141 ILMN_1786310 ILMN_1733627 ILMN_1814221 ILMN_1729879 ILMN_1810100 ILMN_1784110 ILMN_1739812 ILMN_1717477 ILMN_1815522 ILMN_1753278 ILMN_1707265 ILMN_1695271 ILMN_1737484 ILMN_1795839 ILMN_1720513 ILMN_1780222 ILMN_1714445 ILMN_1698846 ILMN_1782259 ILMN_1791371 ILMN_1733860 ILMN_1683470 ILMN_1681234 ILMN_1683263 ILMN_1712913 ILMN_1784283
cg06166767 4 3 4 4 3 3 3 3 0 4 3 3 3 3 3 0 3 3 3 4 0 2 4 3 4 3 4 3 3 0 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg06518271 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 6 1 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 1 2 2 5 5 3 5 2 2 5 2 2 2 3 5 2 5 2 5
cg06590610 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 5 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg07028869 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 2 4 5 4 5 2 2 5 2 5 2 5 5 5 2 2 5 5 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg07580475 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 0 0 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg07634706 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 5 2 5 2 5 2 5 5 4 5 2 2 5 3 5 2 5 5 5 2 2 5 5 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg07740640 1 6 1 1 6 6 6 6 1 1 6 6 6 6 6 0 6 6 6 1 0 6 1 6 1 6 1 6 6 0 6 1 1 6 0 6 1 6 6 6 1 1 6 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg08261841 6 2 5 5 3 2 2 2 1 4 2 2 2 2 3 1 2 3 2 5 0 1 4 2 4 2 5 1 3 1 2 5 5 2 5 2 5 2 3 3 5 5 2 2 2 2 5 5 3 5 3 3 5 2 2 2 3 4 3 5 2 4
cg09300114 0 3 5 4 3 3 3 3 1 4 3 2 2 3 3 0 3 3 2 4 0 0 4 3 4 3 4 0 3 1 0 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 5 3 5 3 3 4 3 3 3 3 4 3 4 3 4
cg09499849 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 0 0 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg09527362 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 1 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg09538287 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 2 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg09964921 6 2 5 5 3 2 2 2 1 4 2 2 2 2 3 0 2 3 2 5 0 2 4 2 4 2 4 1 2 1 2 5 5 2 5 2 5 2 3 3 5 5 2 2 2 2 5 5 3 5 3 3 5 3 2 2 3 4 3 5 2 4
cg10752753 0 6 1 1 6 6 6 6 4 1 6 6 6 6 6 6 6 6 6 1 0 0 1 6 1 6 1 0 6 4 0 1 1 6 1 6 1 6 6 6 1 1 0 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg11314292 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg11558474 0 6 1 1 6 6 6 6 4 1 6 6 6 6 6 6 6 6 6 1 0 0 1 6 1 6 1 0 6 4 6 1 1 6 1 6 1 6 6 6 1 1 6 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg12127282 3 5 2 2 5 4 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 3 4 5 4 4 2 2 5 3 5 2 5 5 5 2 3 5 4 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg13985639 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg14399060 3 4 3 3 5 4 4 5 4 3 5 4 4 4 5 4 5 5 5 3 3 4 2 5 3 5 3 4 4 4 4 3 2 4 3 4 3 4 5 5 2 3 4 4 4 4 2 2 4 3 5 4 3 5 4 4 6 2 4 3 4 3
cg14607011 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 3 3 3 3 4 4 0 4 3 4 3 4 0 3 1 0 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg14726637 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 2 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 2 2 2 5 5 3 5 3 2 5 2 2 2 3 5 2 5 2 5
cg15296858 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg15383087 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 2 4 5 4 5 2 2 5 3 5 2 5 5 5 2 2 5 5 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg15582789 4 3 4 4 3 3 3 3 4 4 3 3 3 3 3 0 3 3 3 4 0 3 4 3 4 3 4 3 3 0 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg15733507 4 3 4 4 3 3 3 3 0 4 3 3 3 3 3 0 3 3 3 4 0 3 4 3 4 3 4 3 3 0 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg16097772 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 3 3 3 3 4 4 0 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg17095797 1 6 1 1 6 6 6 6 0 1 6 6 6 6 6 0 6 6 6 1 0 5 1 6 1 6 1 6 6 0 6 1 1 6 0 6 1 6 6 6 1 1 6 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg17420360 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 2 4 5 4 5 2 2 5 3 5 2 5 5 5 2 3 5 4 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg17532978 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 0 0 4 3 4 3 4 0 3 1 3 4 4 3 0 3 4 3 3 3 4 4 3 3 3 3 4 4 3 5 3 3 4 3 3 3 3 4 3 4 3 4
cg18345635 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 3 3 3 3 4 4 0 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg18702197 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 3 4 5 4 4 2 2 5 3 5 2 5 5 5 2 3 5 4 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg18854666 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 0 2 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 2 2 2 5 5 3 5 2 2 5 2 2 2 3 5 2 5 2 5
cg19258882 6 3 4 5 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 6 0 4 3 4 3 4 0 3 1 3 4 4 3 0 3 4 3 3 3 4 5 3 0 3 3 4 4 3 5 3 3 5 3 3 3 3 4 3 4 3 4
cg19731268 0 3 4 4 3 3 3 3 2 4 3 3 3 3 3 3 3 3 3 4 4 0 4 3 4 3 4 0 3 2 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg19910382 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 6 1 2 1 1 5 5 2 6 2 5 2 2 2 5 6 2 1 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg20483374 6 2 5 5 2 2 2 2 1 4 2 2 2 2 3 1 2 2 2 5 6 2 5 2 4 2 5 2 2 1 2 5 5 2 6 2 5 2 3 2 5 5 2 2 2 2 5 5 3 5 3 3 5 2 2 2 3 5 3 5 2 5
cg20935106 6 2 5 5 2 2 2 2 1 4 2 2 2 2 3 1 2 2 2 5 6 2 4 2 4 2 5 2 2 1 2 5 5 2 6 2 5 2 3 2 5 5 2 2 2 2 5 5 3 5 3 3 5 2 2 2 3 5 3 5 2 5
cg21295467 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 2 5 2 5 2 5 2 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 1 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg21366834 5 2 5 5 2 2 2 2 0 4 2 2 2 2 3 0 2 3 2 5 0 2 4 2 4 2 5 2 2 0 2 5 5 2 6 2 5 2 3 3 5 5 2 2 2 2 5 5 3 4 3 3 5 2 2 2 3 5 3 5 2 5
cg21375825 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 2 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg21554552 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 2 4 5 4 5 2 2 5 3 5 2 5 5 5 2 3 5 4 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg21601405 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 4 3 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 5 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg21736592 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 2 5 2 5 2 5 1 2 1 2 5 5 2 5 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg22294908 5 2 5 5 2 2 2 2 0 5 2 2 2 2 2 1 2 2 2 5 6 2 5 2 5 2 6 2 2 0 2 5 5 2 6 2 5 2 2 2 5 5 2 1 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg22298088 0 6 1 1 6 6 6 6 5 1 6 6 6 6 6 6 6 6 6 1 1 0 1 6 1 6 1 0 6 5 0 1 1 6 1 6 1 6 6 6 1 1 6 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg22467534 6 3 5 5 3 3 2 2 1 4 2 2 2 3 3 0 3 3 2 5 0 1 4 3 4 3 5 1 3 1 2 5 4 2 5 2 4 2 3 3 5 5 2 2 2 3 5 5 3 5 3 3 5 3 3 2 3 4 3 5 2 4
cg22510412 0 6 1 1 6 6 6 6 5 1 6 6 6 6 6 6 6 6 6 1 1 0 1 6 1 6 1 0 6 5 0 1 1 6 1 6 1 6 6 6 1 1 6 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg22861316 5 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 5 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg23002761 3 5 2 2 5 4 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 3 4 5 4 4 2 2 5 3 5 2 5 5 5 2 3 4 4 5 5 2 2 5 2 6 5 2 5 5 5 6 2 5 2 5 2
cg23095584 3 5 2 2 6 5 5 5 4 1 5 5 5 5 6 4 5 6 5 2 3 4 1 5 1 5 0 4 6 4 4 2 2 5 3 5 2 5 6 6 2 3 5 5 5 5 2 2 6 2 6 6 2 5 5 5 6 1 6 2 5 1
cg23276115 6 2 5 5 2 2 2 2 1 4 2 2 2 2 2 1 2 2 2 5 6 1 5 2 4 2 5 1 2 1 2 5 5 2 5 2 5 2 3 2 5 5 2 2 2 2 5 5 3 5 3 3 5 2 2 2 3 5 2 5 2 5
cg23769143 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 0 0 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 5 3 3 4 3 3 3 3 4 3 4 3 4
cg24171152 3 6 2 2 6 5 5 5 4 1 5 5 5 5 6 0 5 6 5 2 3 5 1 5 1 5 2 4 6 4 5 2 2 5 2 5 1 5 6 6 2 2 5 5 5 6 2 2 6 2 6 6 2 6 6 5 6 1 6 2 5 1
cg24322623 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 0 0 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg25239996 6 2 5 5 2 2 2 2 1 4 2 2 2 2 3 1 2 2 2 5 0 1 4 2 4 2 5 1 2 1 1 5 5 2 6 2 4 2 3 3 5 6 2 1 2 2 5 5 3 5 2 3 5 2 2 2 3 4 3 5 2 5
cg25426743 3 4 2 3 5 4 4 5 4 2 5 4 4 4 5 4 5 5 5 3 3 4 2 5 2 5 3 4 4 4 4 3 2 4 3 4 3 4 5 5 2 3 4 4 4 5 2 2 4 3 5 5 3 5 4 5 6 2 4 3 4 3
cg25443975 2 5 2 2 5 5 5 5 0 2 5 5 5 5 5 4 5 5 5 2 0 5 2 5 2 5 2 5 5 4 5 2 2 5 3 5 2 5 5 5 2 2 5 4 5 5 2 2 6 2 6 5 2 5 5 5 6 2 5 2 5 2
cg25476145 4 3 4 4 3 3 3 3 4 4 3 3 3 3 3 0 3 3 3 4 0 3 4 3 4 3 4 3 3 0 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg25737836 2 6 1 1 6 6 6 6 0 1 6 5 5 6 6 0 6 6 6 1 0 5 1 6 1 6 1 6 6 4 6 1 1 6 0 6 1 6 6 6 1 1 6 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg25853078 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 5 2 5 2 5 2 4 5 4 5 2 2 5 3 5 2 5 5 5 2 2 5 5 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg25982743 6 3 5 5 3 3 3 3 1 4 3 2 2 3 3 0 3 3 2 4 0 1 4 3 4 3 5 0 3 1 2 5 4 3 5 3 4 2 3 3 5 5 3 3 3 3 5 5 3 5 3 3 5 3 3 3 3 4 3 5 2 4
cg26163537 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 2 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 5 2 1 2 2 5 5 3 5 3 2 5 2 2 2 3 5 2 5 2 5
cg26284390 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 0 3 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg26583078 3 5 2 2 6 5 5 5 4 1 5 5 5 5 6 4 5 6 5 2 3 4 1 5 1 5 2 4 5 4 5 2 2 5 2 5 2 5 6 6 2 2 5 5 5 5 2 2 6 2 6 6 2 5 5 5 6 1 6 2 5 2
cg26661623 5 3 4 4 3 3 3 3 0 4 3 3 3 3 3 0 3 3 3 4 0 2 4 3 4 3 4 3 3 0 3 4 4 3 0 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg26711820 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg26815414 5 2 5 5 2 2 2 2 0 4 2 2 2 2 3 1 2 3 2 5 0 2 5 2 4 2 5 2 2 0 2 5 5 2 5 2 4 2 3 3 5 5 2 2 2 2 5 5 3 5 3 3 5 2 2 2 3 5 3 5 2 5
cg27094188 2 6 2 2 6 5 5 5 4 1 5 5 5 5 6 4 5 6 5 2 3 4 1 6 1 5 2 4 6 4 5 2 2 5 3 5 1 5 6 6 2 2 5 5 5 6 2 2 6 2 6 6 2 5 6 5 6 1 6 2 5 1
