ILMN_1753370 ILMN_1735591 ILMN_1776936 ILMN_1669928 ILMN_1697905 ILMN_1699727 ILMN_1760246 ILMN_1653836 ILMN_1775121 ILMN_1675632 ILMN_1743219 ILMN_1795561 ILMN_1751561 ILMN_1791270 ILMN_1779241 ILMN_1690179 ILMN_1668652 ILMN_1676728 ILMN_1654289 ILMN_1697268 ILMN_1719468 ILMN_1729217 ILMN_1728517 ILMN_1789627 ILMN_1679746 ILMN_1716869 ILMN_1717381 ILMN_1776516 ILMN_1789505 ILMN_1682572 ILMN_1770479 ILMN_1753269 ILMN_1798663 ILMN_1763228 ILMN_1809636 ILMN_1785141 ILMN_1786310 ILMN_1733627 ILMN_1814221 ILMN_1729879 ILMN_1810100 ILMN_1784110 ILMN_1739812 ILMN_1717477 ILMN_1815522 ILMN_1753278 ILMN_1707265 ILMN_1695271 ILMN_1737484 ILMN_1795839 ILMN_1720513 ILMN_1780222 ILMN_1714445 ILMN_1698846 ILMN_1782259 ILMN_1791371 ILMN_1733860 ILMN_1683470 ILMN_1681234 ILMN_1683263 ILMN_1712913 ILMN_1784283
cg02250787 0.549747 0.598901 0.690779 0.615877 0.529476 0.521622 0.608151 0.54012 0.177986 0.599893 0.63434 0.584544 0.590315 0.529235 0.648945 0.572106 0.615108 0.566239 0.561042 0.563137 0.273095 0.467948 0.591322 0.535424 0.615766 0.586956 0.591987 0.517445 0.600359 0.122726 0.549549 0.596255 0.702364 0.595401 0.529916 0.590484 0.533329 0.571283 0.626314 0.561538 0.551589 0.564762 0.540175 0.525984 0.639049 0.632086 0.606517 0.479721 0.512353 0.401455 0.398877 0.559983 0.62512 0.599258 0.530757 0.598875 0.541733 0.633028 0.531635 0.581294 0.584787 0.633076
cg02310296 0.278303 0.347246 0.434817 0.367282 0.328475 0.310514 0.342253 0.324541 0.431496 0.411122 0.354345 0.336789 0.342493 0.350773 0.392995 0.352491 0.3666 0.358828 0.420727 0.3984 0.241661 0.279907 0.324889 0.328369 0.354115 0.378398 0.36542 0.323447 0.449987 0.395693 0.327922 0.351536 0.420756 0.379667 0.45824 0.500745 0.349841 0.399226 0.482494 0.373103 0.300583 0.391213 0.309738 0.503388 0.464809 0.38919 0.347349 0.512154 0.36113 0.532461 0.510447 0.4307 0.386236 0.494265 0.437959 0.370199 0.423102 0.366197 0.326802 0.360227 0.336698 0.419159
cg02738086 0.468558 0.564708 0.644318 0.574892 0.500806 0.482495 0.560591 0.511687 0.208766 0.544005 0.584728 0.53531 0.539369 0.503194 0.590865 0.500213 0.575298 0.548402 0.563754 0.530597 0.24072 0.447182 0.526778 0.508403 0.518443 0.554555 0.512968 0.47788 0.55306 0.142007 0.522699 0.544574 0.670446 0.577311 0.480102 0.572358 0.49558 0.538193 0.632549 0.547689 0.506592 0.496693 0.498961 0.488761 0.630625 0.62229 0.566325 0.51179 0.504637 0.406904 0.432614 0.558437 0.553286 0.594874 0.512603 0.556254 0.515969 0.560679 0.516811 0.550667 0.545016 0.575737
cg03218909 0.237494 0.308448 0.386122 0.322685 0.29316 0.263886 0.300953 0.290133 0.451515 0.376767 0.307007 0.28992 0.298749 0.308875 0.332205 0.302185 0.320584 0.304643 0.386577 0.373289 0.22494 0.252663 0.297374 0.299846 0.310706 0.335701 0.330265 0.287968 0.39045 0.409683 0.286569 0.309594 0.364372 0.336763 0.431791 0.458272 0.308796 0.363997 0.420572 0.323994 0.266475 0.363693 0.268871 0.456246 0.402813 0.333964 0.28582 0.495987 0.331845 0.537095 0.498849 0.385873 0.340978 0.449442 0.396813 0.323887 0.371807 0.326489 0.291722 0.335938 0.289334 0.380212
cg03460682 0.489969 0.575473 0.668561 0.584037 0.501739 0.478746 0.590392 0.522226 0.2245 0.57886 0.592022 0.550354 0.557442 0.529157 0.610157 0.505399 0.586082 0.562959 0.579 0.538614 0.308625 0.441151 0.537843 0.541644 0.569346 0.608373 0.550687 0.477223 0.576961 0.166301 0.508748 0.581833 0.666622 0.577521 0.526367 0.579636 0.538973 0.589848 0.636483 0.573504 0.495477 0.538068 0.508129 0.524379 0.638222 0.61299 0.568804 0.53207 0.492056 0.433857 0.476044 0.577709 0.586828 0.622386 0.544839 0.567386 0.553629 0.602562 0.541485 0.565871 0.56115 0.617417
cg03528946 0.598224 0.662623 0.732394 0.659777 0.65431 0.618372 0.662374 0.660256 0.177755 0.614656 0.704762 0.658937 0.677094 0.589246 0.684352 0.566746 0.697901 0.621779 0.571981 0.581494 0.275469 0.59174 0.6685 0.606555 0.620021 0.647145 0.576998 0.659282 0.621518 0.102464 0.655671 0.655593 0.763939 0.640338 0.513189 0.612826 0.581143 0.595477 0.658842 0.62287 0.641888 0.561594 0.639618 0.518866 0.668649 0.690339 0.685208 0.497716 0.539539 0.409683 0.445685 0.60495 0.636923 0.651459 0.565136 0.702806 0.574535 0.664339 0.593468 0.633891 0.661298 0.655345
cg04256470 0.561309 0.649867 0.722508 0.661716 0.58391 0.564376 0.656309 0.613369 0.210184 0.631526 0.672264 0.622439 0.637739 0.62004 0.697758 0.582858 0.676037 0.624568 0.569972 0.611542 0.302964 0.534121 0.617046 0.593759 0.618255 0.651533 0.578428 0.574428 0.656907 0.153002 0.616665 0.631541 0.772345 0.65848 0.543637 0.645871 0.579706 0.601588 0.676078 0.635657 0.594877 0.573191 0.592418 0.544176 0.701085 0.70725 0.681961 0.528477 0.568691 0.4365 0.504005 0.625315 0.639553 0.673306 0.598032 0.67038 0.580459 0.652883 0.579736 0.637601 0.645015 0.665723
cg04451770 0.449406 0.533331 0.624004 0.547387 0.511114 0.475982 0.539838 0.512602 0.476042 0.575386 0.551434 0.511448 0.519309 0.532851 0.56306 0.479982 0.562684 0.526872 0.587108 0.585328 0.28097 0.452296 0.509062 0.517661 0.501425 0.56183 0.505025 0.501006 0.586322 0.389572 0.521699 0.523781 0.638278 0.569273 0.559775 0.659304 0.491587 0.574358 0.639074 0.54106 0.492068 0.504817 0.483067 0.611031 0.637606 0.580797 0.534518 0.641 0.523737 0.577408 0.616736 0.594145 0.539087 0.67568 0.57956 0.566451 0.54083 0.533786 0.51421 0.554834 0.515208 0.587557
cg05010623 0.510279 0.572746 0.672014 0.587335 0.507558 0.479956 0.575786 0.527437 0.202553 0.575728 0.586262 0.550988 0.557917 0.536563 0.604257 0.505429 0.585947 0.559109 0.574787 0.536057 0.288319 0.440716 0.548806 0.529858 0.561566 0.596067 0.569364 0.482481 0.572748 0.154186 0.516705 0.583037 0.680546 0.575431 0.514741 0.567566 0.536831 0.569351 0.620558 0.566993 0.50055 0.53952 0.511982 0.499514 0.635749 0.619342 0.575322 0.521406 0.47901 0.430614 0.450827 0.574701 0.594139 0.602357 0.533531 0.567586 0.544987 0.597934 0.537321 0.574963 0.565606 0.624342
cg05316065 0.518681 0.607012 0.683734 0.601558 0.529986 0.513024 0.611146 0.547227 0.270563 0.604383 0.617604 0.576785 0.578357 0.559147 0.6403 0.539989 0.616456 0.590966 0.594101 0.589004 0.299587 0.477724 0.560733 0.547539 0.583556 0.610344 0.58023 0.502313 0.622656 0.219796 0.544201 0.589214 0.70032 0.614152 0.547626 0.627611 0.53837 0.604025 0.662396 0.596748 0.534434 0.553811 0.527674 0.557601 0.689328 0.653098 0.60678 0.546868 0.533682 0.469847 0.484824 0.622415 0.627492 0.655627 0.584083 0.609013 0.571189 0.611675 0.558644 0.576953 0.588047 0.635576
cg05322019 0.465858 0.563446 0.628274 0.556795 0.495768 0.474389 0.562121 0.518097 0.22889 0.582549 0.570231 0.532517 0.538675 0.549224 0.57952 0.475625 0.579046 0.559322 0.519367 0.55006 0.266043 0.442418 0.528901 0.519534 0.53435 0.574912 0.521433 0.472923 0.56625 0.164931 0.511039 0.548386 0.6413 0.571062 0.474229 0.561934 0.493026 0.539939 0.610475 0.572283 0.483995 0.484369 0.503393 0.475035 0.625246 0.599937 0.543016 0.483603 0.483841 0.426828 0.457361 0.572556 0.531663 0.603441 0.531911 0.548149 0.532504 0.562605 0.534788 0.562101 0.550517 0.59745
cg05516537 0.245227 0.328574 0.410873 0.346691 0.311522 0.277984 0.312212 0.301836 0.448464 0.386741 0.337483 0.296336 0.305863 0.334957 0.375668 0.351944 0.33611 0.324464 0.398261 0.376425 0.21258 0.259113 0.304121 0.350259 0.315443 0.359252 0.332374 0.30417 0.387277 0.371045 0.303519 0.32473 0.399473 0.371551 0.464115 0.48509 0.353363 0.358766 0.419535 0.341401 0.281596 0.397585 0.278859 0.476696 0.387562 0.356078 0.322036 0.522853 0.390257 0.547225 0.499306 0.36938 0.355298 0.48437 0.404695 0.344881 0.393245 0.35064 0.307581 0.392751 0.294765 0.397151
cg05697249 0.471168 0.522057 0.598702 0.536165 0.48892 0.478302 0.535256 0.493452 0.147224 0.525844 0.553871 0.531054 0.531026 0.472047 0.54462 0.463798 0.544949 0.491745 0.490027 0.497914 0.262558 0.428563 0.535365 0.463386 0.525207 0.51737 0.503922 0.46317 0.528603 0.109059 0.493383 0.530432 0.622167 0.514877 0.44692 0.502639 0.466013 0.501192 0.546184 0.489311 0.489922 0.469852 0.487459 0.439117 0.590572 0.552986 0.546831 0.431828 0.424402 0.370037 0.365248 0.50526 0.539625 0.530876 0.465052 0.534825 0.46461 0.542402 0.492673 0.505538 0.522035 0.545312
cg06166767 0.484991 0.494939 0.536741 0.496703 0.518352 0.492803 0.532713 0.552034 0.113823 0.456738 0.52045 0.522852 0.55122 0.420561 0.496286 0.39621 0.541467 0.452071 0.423742 0.425836 0.198358 0.485198 0.495935 0.433856 0.480879 0.486935 0.426951 0.546256 0.465702 0.0629 0.518457 0.476986 0.563795 0.470914 0.370339 0.441872 0.398478 0.455096 0.485967 0.454393 0.492139 0.39775 0.511369 0.374476 0.50566 0.5039 0.50919 0.35609 0.384111 0.273765 0.311477 0.444555 0.463251 0.478354 0.409888 0.556721 0.401891 0.482505 0.451031 0.445924 0.533527 0.487333
cg06518271 0.454458 0.529721 0.616333 0.547208 0.514252 0.486168 0.525021 0.542036 0.133408 0.513889 0.567834 0.522923 0.538931 0.515629 0.553982 0.457284 0.56741 0.526468 0.48843 0.485121 0.214353 0.4616 0.515876 0.497169 0.500382 0.555338 0.472444 0.501501 0.515984 0.087043 0.52088 0.535897 0.663171 0.538238 0.427604 0.51299 0.482213 0.496497 0.557577 0.541224 0.491719 0.448418 0.509869 0.422128 0.573114 0.572418 0.552735 0.429687 0.436339 0.348341 0.405811 0.545094 0.497503 0.557921 0.479597 0.548921 0.490552 0.523898 0.499926 0.540698 0.548195 0.551553
cg06590610 0.505014 0.599027 0.688247 0.623598 0.537238 0.515891 0.60385 0.547615 0.311215 0.621467 0.618612 0.570744 0.575884 0.586153 0.652224 0.566952 0.622014 0.585517 0.583121 0.603362 0.29425 0.477935 0.5693 0.567429 0.572713 0.626567 0.564477 0.519901 0.634143 0.254999 0.555527 0.599598 0.717831 0.629566 0.574682 0.659624 0.558368 0.592814 0.66833 0.60804 0.537595 0.56852 0.540606 0.590632 0.683372 0.66522 0.620911 0.596409 0.562634 0.526393 0.533159 0.614187 0.607972 0.677656 0.604671 0.615912 0.587395 0.610491 0.553111 0.613858 0.587498 0.643507
cg07028869 0.480304 0.580386 0.66572 0.599956 0.542796 0.509533 0.579985 0.545191 0.419502 0.604218 0.596748 0.552777 0.563398 0.583744 0.631758 0.555575 0.605384 0.568758 0.560265 0.619139 0.281754 0.483596 0.551329 0.562118 0.54091 0.602209 0.524741 0.535201 0.61736 0.328041 0.555701 0.568015 0.686241 0.608683 0.591124 0.686737 0.548522 0.564819 0.644128 0.585972 0.534726 0.556705 0.523147 0.622927 0.637139 0.623532 0.586933 0.62008 0.58179 0.601079 0.602494 0.592511 0.571785 0.696089 0.61457 0.614061 0.569121 0.585556 0.533678 0.620516 0.561994 0.622134
cg07580475 0.315351 0.414993 0.517461 0.444829 0.372037 0.342197 0.402017 0.372038 0.381628 0.470144 0.43557 0.379925 0.385847 0.432983 0.480996 0.441639 0.432795 0.422827 0.444221 0.445945 0.231278 0.315036 0.380108 0.443221 0.398126 0.461172 0.404038 0.356161 0.460571 0.289261 0.372292 0.435175 0.501676 0.470592 0.511682 0.538834 0.468079 0.435763 0.484697 0.440845 0.345065 0.471755 0.358726 0.51255 0.460167 0.456103 0.423553 0.53018 0.464576 0.510855 0.507072 0.447579 0.439242 0.546402 0.474729 0.41925 0.469312 0.447173 0.39602 0.492781 0.382038 0.489367
cg07634706 0.553746 0.602235 0.670555 0.604499 0.587598 0.555716 0.615116 0.614245 0.153349 0.558735 0.628638 0.605874 0.632101 0.538083 0.618893 0.511579 0.644452 0.562824 0.509696 0.53449 0.267841 0.540523 0.604904 0.546447 0.583517 0.593623 0.526396 0.600033 0.56841 0.084897 0.599418 0.583905 0.700104 0.579737 0.467602 0.551785 0.52757 0.550498 0.599865 0.562586 0.575077 0.511386 0.576243 0.47302 0.614516 0.621931 0.6264 0.456112 0.481761 0.369514 0.405702 0.545867 0.581828 0.591145 0.503585 0.652062 0.518471 0.606817 0.541815 0.565729 0.60782 0.596599
cg07740640 0.471287 0.411717 0.426918 0.410677 0.552844 0.512472 0.418921 0.562825 0.120058 0.343292 0.471202 0.491375 0.527674 0.368751 0.418987 0.332405 0.537592 0.394537 0.300747 0.335044 0.125641 0.540328 0.481259 0.348046 0.390255 0.391065 0.308447 0.616332 0.373067 0.080425 0.584499 0.400625 0.477697 0.371811 0.277601 0.364513 0.325295 0.328329 0.385059 0.381427 0.521259 0.306596 0.496418 0.3004 0.375821 0.419893 0.476473 0.290935 0.306363 0.22905 0.264176 0.34972 0.375497 0.393001 0.338708 0.587069 0.34872 0.391331 0.358323 0.363735 0.490056 0.365546
cg08261841 0.457874 0.565195 0.649797 0.576452 0.490897 0.469135 0.552197 0.502959 0.196016 0.553425 0.587486 0.531616 0.531508 0.548377 0.614625 0.532031 0.580316 0.558939 0.513458 0.525724 0.256816 0.430452 0.520392 0.566023 0.542833 0.594257 0.511426 0.466723 0.553102 0.127857 0.495587 0.565572 0.6538 0.582924 0.509007 0.570052 0.553223 0.531992 0.583818 0.569115 0.471149 0.540591 0.499341 0.486875 0.57237 0.595071 0.564849 0.48588 0.51344 0.415136 0.431304 0.546411 0.55925 0.595614 0.534957 0.564394 0.542018 0.586594 0.533793 0.598361 0.545128 0.605014
cg09300114 0.320654 0.401547 0.479007 0.419046 0.364156 0.344441 0.420626 0.356624 0.402577 0.454109 0.409614 0.37822 0.38101 0.385603 0.434593 0.372609 0.415897 0.391024 0.515087 0.451144 0.237825 0.320114 0.37436 0.377972 0.395455 0.424378 0.415854 0.348023 0.478258 0.351462 0.374672 0.39038 0.483151 0.433478 0.446123 0.509344 0.365627 0.470338 0.535004 0.407743 0.352268 0.403055 0.351107 0.507585 0.541431 0.452139 0.402035 0.552616 0.391914 0.486335 0.497293 0.475268 0.439501 0.518292 0.453002 0.417347 0.436597 0.404292 0.381696 0.4007 0.386781 0.46047
cg09499849 0.333298 0.410519 0.50149 0.440667 0.383183 0.350078 0.411634 0.393417 0.416888 0.4571 0.416869 0.392746 0.397356 0.413249 0.444556 0.39217 0.427587 0.415758 0.471862 0.448384 0.257204 0.32971 0.392171 0.400247 0.406011 0.450444 0.410388 0.370084 0.476591 0.356168 0.37597 0.420403 0.489034 0.435361 0.491504 0.530412 0.405231 0.461076 0.510851 0.434875 0.357039 0.440954 0.360125 0.522998 0.496555 0.438419 0.395672 0.532772 0.410577 0.545221 0.536509 0.467366 0.44059 0.546343 0.481082 0.425265 0.458349 0.439753 0.39369 0.436252 0.402728 0.484182
cg09527362 0.510391 0.629258 0.720486 0.634539 0.561543 0.538293 0.630528 0.566009 0.290087 0.626316 0.646699 0.5868 0.596551 0.575943 0.664327 0.565564 0.641379 0.611026 0.614029 0.60473 0.322218 0.494053 0.576397 0.582507 0.592668 0.631148 0.572273 0.533826 0.627831 0.214838 0.565862 0.606534 0.72196 0.643665 0.565026 0.661727 0.561964 0.626048 0.691321 0.61292 0.542056 0.562682 0.558608 0.581174 0.687661 0.665326 0.61794 0.574775 0.556587 0.499173 0.524143 0.628768 0.615019 0.684147 0.592345 0.628272 0.597904 0.627231 0.584652 0.622924 0.608324 0.657187
cg09538287 0.528981 0.58712 0.672522 0.598278 0.524564 0.513594 0.601746 0.543799 0.24144 0.593966 0.604681 0.57962 0.580051 0.578862 0.626244 0.530033 0.611299 0.585604 0.567252 0.578549 0.286542 0.475591 0.558807 0.528421 0.570697 0.609494 0.558012 0.499281 0.614746 0.206884 0.533989 0.583564 0.691519 0.599354 0.523177 0.604767 0.528079 0.587698 0.654104 0.598564 0.530336 0.538455 0.541451 0.538446 0.673837 0.64273 0.586868 0.543973 0.504564 0.463418 0.483997 0.609303 0.595735 0.631171 0.580042 0.596361 0.56347 0.599961 0.545989 0.570503 0.598789 0.621083
cg09964921 0.426709 0.5293 0.609962 0.549029 0.456074 0.435333 0.50913 0.481844 0.276143 0.529975 0.544417 0.496125 0.495332 0.518323 0.570902 0.499738 0.538819 0.51582 0.516889 0.514541 0.251314 0.410922 0.484905 0.510315 0.500394 0.545137 0.487211 0.44943 0.553064 0.186107 0.474105 0.535106 0.630779 0.553989 0.50965 0.572221 0.507293 0.509357 0.572875 0.530832 0.446843 0.508567 0.46577 0.513089 0.571437 0.56899 0.525742 0.508256 0.497668 0.458618 0.476828 0.530995 0.520217 0.5947 0.520464 0.518586 0.510397 0.537047 0.489955 0.548346 0.503453 0.560807
cg10752753 0.333309 0.413791 0.489065 0.431409 0.37408 0.351152 0.406464 0.368644 0.402496 0.460074 0.43157 0.380218 0.389118 0.406637 0.456836 0.399463 0.4191 0.395414 0.478355 0.475188 0.207859 0.32719 0.382106 0.413165 0.382993 0.434495 0.397257 0.365342 0.472231 0.338251 0.388633 0.407768 0.511292 0.446253 0.458992 0.546018 0.384343 0.444306 0.502991 0.418322 0.371257 0.409251 0.353686 0.517938 0.501054 0.459197 0.414123 0.539593 0.44391 0.487601 0.489804 0.44799 0.425452 0.540874 0.468124 0.422128 0.421603 0.418986 0.38603 0.456663 0.382668 0.463606
cg11314292 0.539156 0.627103 0.711933 0.630131 0.567953 0.541512 0.636954 0.587281 0.179723 0.612308 0.654981 0.60598 0.618299 0.561485 0.647069 0.537901 0.645603 0.596981 0.58262 0.567487 0.298655 0.510545 0.60928 0.582687 0.60146 0.631352 0.576608 0.559426 0.60697 0.122284 0.580614 0.618227 0.730162 0.620121 0.52843 0.597176 0.561356 0.596289 0.650441 0.599479 0.560801 0.56172 0.576067 0.505829 0.661702 0.657864 0.634424 0.513693 0.52482 0.420215 0.461864 0.601228 0.621171 0.638234 0.551583 0.633842 0.558493 0.638112 0.575604 0.613256 0.618081 0.651437
cg11558474 0.283044 0.383124 0.472681 0.402952 0.337244 0.306599 0.358848 0.338772 0.424524 0.432389 0.390431 0.342021 0.349795 0.376571 0.425476 0.395784 0.381604 0.378122 0.449503 0.416312 0.226081 0.281965 0.342168 0.395519 0.358148 0.409088 0.385023 0.323162 0.413277 0.329769 0.333337 0.386516 0.449866 0.422729 0.48436 0.505358 0.408678 0.397691 0.469295 0.385411 0.316936 0.44413 0.315345 0.488972 0.429797 0.409205 0.365145 0.53981 0.430163 0.522648 0.483577 0.409384 0.408183 0.512375 0.431828 0.382443 0.43598 0.401655 0.353892 0.450105 0.337233 0.444013
cg12127282 0.511574 0.62184 0.715056 0.642548 0.577558 0.541748 0.610672 0.594376 0.31433 0.630471 0.643351 0.596194 0.604403 0.633616 0.665509 0.574345 0.655196 0.635522 0.571189 0.614932 0.294475 0.506178 0.584732 0.617614 0.576521 0.659743 0.551831 0.550357 0.614397 0.219706 0.582621 0.61782 0.741723 0.661675 0.565013 0.65894 0.602725 0.589972 0.663311 0.646553 0.550197 0.574419 0.569861 0.577156 0.634794 0.666645 0.633726 0.588737 0.582135 0.508965 0.554856 0.625717 0.596553 0.697966 0.614774 0.636323 0.625068 0.627625 0.589396 0.677234 0.601799 0.66608
